accession,signature,requested_genes,present_genes,n_requested,n_present,coverage_fraction
GSE32707,hla_dr_core,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,5,5,1
GSE32707,myeloid_inflammatory,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,10,10,1
GSE32707,interferon_antigen_presentation,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,10,10,1
GSE32707,immunometabolic_stress,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,7,7,1
GSE32707,adaptive_t_cell_context,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK,8,7,0.875
GSE69063,six_gene_panel,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,6,6,1
GSE69063,mhcii_cd74_axis,CD74;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,CD74;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,11,11,1
GSE69063,hla_dr_core,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,5,5,1
GSE69063,myeloid_inflammatory,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA,10,9,0.9
GSE69063,interferon_antigen_presentation,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,10,10,1
GSE69063,immunometabolic_stress,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,7,7,1
GSE69063,adaptive_t_cell_context,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,8,8,1
GSE28750,six_gene_panel,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,6,6,1
GSE28750,mhcii_cd74_axis,CD74;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,11,10,0.909090909090909
GSE28750,hla_dr_core,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,HLA-DRA;HLA-DRB1;CIITA;CD74,5,4,0.8
GSE28750,myeloid_inflammatory,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,10,10,1
GSE28750,interferon_antigen_presentation,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,10,10,1
GSE28750,immunometabolic_stress,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,7,7,1
GSE28750,adaptive_t_cell_context,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,8,8,1
GSE54514,six_gene_panel,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,RETN;MCEMP1;CYP1B1;S100A12;S100A8;HK3,6,6,1
GSE54514,mhcii_cd74_axis,CD74;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,CD74;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DMA;HLA-DMB;CIITA,11,10,0.909090909090909
GSE54514,hla_dr_core,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,HLA-DRA;HLA-DRB1;HLA-DRB5;CIITA;CD74,5,5,1
GSE54514,myeloid_inflammatory,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,S100A8;S100A9;S100A12;IL1B;CXCL8;LCN2;RETN;TLR2;NFKBIA;FCGR1A,10,10,1
GSE54514,interferon_antigen_presentation,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,STAT1;IRF1;IRF7;ISG15;IFI44L;OAS1;MX1;CXCL10;HLA-DRA;CD74,10,10,1
GSE54514,immunometabolic_stress,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,HK3;HIF1A;LDHA;SLC2A3;PFKFB3;ENO1;ALDOA,7,7,1
GSE54514,adaptive_t_cell_context,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK;TRAC,CD3D;CD3E;CD4;CD8A;IL7R;CCR7;LCK,8,7,0.875
